AoA,Cp_Tap8_upper_xc0.000,Cp_Tap7_upper_xc0.050,Cp_Tap6_upper_xc0.100,Cp_Tap5_upper_xc0.200,Cp_Tap4_upper_xc0.300,Cp_Tap3_upper_xc0.400,Cp_Tap2_upper_xc0.600,Cp_Tap1_upper_xc0.800,Cp_Tap9_lower_xc0.050,Cp_Tap10_lower_xc0.150,Cp_Tap11_lower_xc0.250,Cp_Tap12_lower_xc0.350,Cp_Tap13_lower_xc0.500,Cp_Tap14_lower_xc0.650
-20.0,-0.1841,0.3911,0.2488,0.0439,0.0989,-0.1379,-0.2376,-0.2936,-0.3461,-0.3427,-0.3649,-0.3392,-0.3433,-0.3544
-18.0,-0.1087,0.3605,0.2167,0.0141,0.0689,-0.1608,-0.2444,-0.2889,-0.3447,-0.3319,-0.3466,-0.3172,-0.3092,-0.3364
-16.0,0.0263,0.3221,0.1659,-0.037,0.0325,-0.1918,-0.2548,-0.2726,-0.3035,-0.2986,-0.322,-0.2972,-0.2876,-0.3108
-14.0,0.0913,0.2877,0.1278,-0.053,0.024,-0.1908,-0.2352,-0.2447,-0.2697,-0.2619,-0.2966,-0.2629,-0.2784,-0.2908
-12.0,0.1702,0.2575,0.102,-0.0832,0.0102,-0.1982,-0.2321,-0.2251,-0.2738,-0.2796,-0.2941,-0.2752,-0.2787,-0.2698
-10.0,0.1769,0.2423,0.088,-0.0883,0.0031,-0.1954,-0.2013,-0.1794,-0.3038,-0.3179,-0.3426,-0.3182,-0.3044,-0.2654
-8.0,0.1706,0.2427,0.088,-0.0786,0.036,-0.156,-0.1457,-0.0994,-0.3805,-0.3684,-0.3763,-0.326,-0.2769,-0.1861
-6.0,0.1166,0.1881,0.026,-0.1315,-0.009,-0.1888,-0.1637,-0.1118,-0.6716,-0.1872,-0.1369,-0.0747,-0.0328,-0.0036
-4.0,0.3682,0.0243,-0.1249,-0.2604,-0.1096,-0.276,-0.2276,-0.1796,-0.2777,-0.2045,-0.0793,-0.0404,-0.0046,0.0206
-2.0,0.4428,-0.157,-0.2681,-0.3585,-0.1777,-0.3364,-0.2597,-0.232,-0.1609,-0.0798,-0.0555,-0.0153,0.0162,0.03
0.0,0.4329,-0.3067,-0.3788,-0.4402,-0.2386,-0.3819,-0.3037,-0.1387,-0.073,-0.0262,-0.0217,0.009,0.0313,0.0379
2.0,0.319,-0.5397,-0.5554,-0.5565,-0.3133,-0.4415,-0.402,-0.1457,0.0385,0.0474,0.0306,0.0504,0.0541,0.0556
4.0,0.0477,-0.7901,-0.7247,-0.6675,-0.3817,-0.5192,-0.3043,-0.1746,0.1274,0.1004,0.0728,0.0813,0.076,0.0629
6.0,-0.3645,-1.065,-0.9062,-0.778,-0.4779,-0.625,-0.3501,-0.188,0.205,0.1494,0.112,0.1119,0.0974,0.0768
8.0,-0.6917,-1.255,-1.0558,-0.8238,-0.5076,-0.583,-0.3663,-0.1794,0.2333,0.1572,0.1114,0.1158,0.0931,0.0731
10.0,-0.939,-1.4537,-0.9364,-0.8274,-0.4798,-0.5246,-0.2882,-0.1565,0.2693,0.1973,0.1374,0.1392,0.101,0.0637
12.0,-1.2021,-1.6337,-0.9115,-0.8108,-0.4178,-0.4391,-0.2339,-0.2073,0.2812,0.2053,0.1492,0.1307,0.0906,0.0591
14.0,-1.4578,-1.7825,-0.9536,-0.7448,-0.3201,-0.3513,-0.2804,-0.2539,0.3022,0.2097,0.1549,0.1399,0.0976,0.0459
16.0,-0.182,-0.4383,-0.4374,-0.4501,-0.2289,-0.4369,-0.4627,-0.4491,0.1954,0.1302,0.0752,0.0654,0.025,-0.0368
18.0,-0.255,-0.4523,-0.4574,-0.4639,-0.2411,-0.4353,-0.4557,-0.4884,0.2267,0.1506,0.0947,0.0825,0.0183,-0.0422
20.0,-0.3391,-0.4709,-0.4638,-0.4687,-0.2663,-0.4634,-0.4873,-0.4864,0.2597,0.1758,0.1094,0.0824,0.0292,-0.038
