AoA (deg),q_inf (Pa),U_inf (m/s),Re,Cn,Ca,CL,CD,Lift (N/m),Drag (N/m)
-20.0,632.4472,32.1336,660094.5,-0.158872,-0.032319,-0.160345,0.023968,-30.4229,4.5475
-18.0,631.4428,32.1081,659570.1,-0.134313,-0.031639,-0.137517,0.011415,-26.0501,2.1624
-16.0,634.9546,32.1972,661401.7,-0.102601,-0.031447,-0.107294,-0.001948,-20.4381,-0.3711
-14.0,638.013,32.2747,662992.7,-0.089015,-0.029497,-0.093507,-0.007086,-17.8976,-1.3563
-12.0,641.7785,32.3698,664946.3,-0.086354,-0.028953,-0.090487,-0.010366,-17.4217,-1.9958
-10.0,644.2967,32.4332,666249.5,-0.113681,-0.027208,-0.116678,-0.007055,-22.5526,-1.3636
-8.0,649.9277,32.5746,669154.6,-0.145995,-0.02405,-0.147922,-0.003497,-28.8415,-0.6819
-6.0,651.021,32.602,669717.2,-0.008506,-0.0146,-0.009986,-0.013631,-1.9503,-2.6622
-4.0,642.7394,32.394,665443.8,0.094381,-0.01301,0.093243,-0.019562,17.9793,-3.7719
-2.0,638.8632,32.2962,663434.3,0.177295,-0.005962,0.176979,-0.012146,33.9196,-2.328
0.0,638.6637,32.2911,663330.7,0.232912,0.003345,0.232912,0.003345,44.6257,0.6409
2.0,635.6725,32.2154,661775.5,0.337135,0.016932,0.336339,0.028688,64.1404,5.4708
4.0,630.6468,32.0878,659154.3,0.403758,0.03877,0.40007,0.06684,75.6909,12.6457
6.0,626.6384,31.9857,657056.1,0.509243,0.061652,0.500009,0.114545,93.9975,21.5335
8.0,618.0088,31.7647,652516.2,0.54345,0.079577,0.527086,0.154436,97.7232,28.6329
10.0,623.1504,31.8965,655224.9,0.533357,0.092417,0.509206,0.183629,95.1935,34.3285
12.0,617.4795,31.7511,652236.7,0.520212,0.104593,0.487098,0.210466,90.2319,38.9875
14.0,616.0605,31.7146,651486.8,0.524891,0.113715,0.48179,0.23732,89.0435,43.861
16.0,604.8252,31.424,645518.8,0.369643,0.014067,0.351446,0.115409,63.7691,20.9408
18.0,600.1871,31.3033,643039.0,0.384826,0.016547,0.360878,0.134654,64.9783,24.2453
20.0,595.3265,31.1763,640429.9,0.409249,0.018586,0.378211,0.157437,67.5477,28.1179
