AoA,Tap8_upper_xc0.000,Tap7_upper_xc0.050,Tap6_upper_xc0.100,Tap5_upper_xc0.200,Tap4_upper_xc0.300,Tap3_upper_xc0.400,Tap2_upper_xc0.600,Tap1_upper_xc0.800,Tap9_lower_xc0.050,Tap10_lower_xc0.150,Tap11_lower_xc0.250,Tap12_lower_xc0.350,Tap13_lower_xc0.500,Tap14_lower_xc0.650
-20.0,-817.457642,-455.617615,-545.104919,-674.0448,-639.438721,-788.391968,-851.163147,-886.344971,-919.410156,-917.260193,-931.250916,-915.066284,-917.640259,-924.629456
-18.0,-769.434509,-474.265839,-564.708801,-692.203796,-657.729126,-802.204224,-854.786499,-882.826111,-917.917847,-909.879089,-919.090088,-900.592102,-895.604675,-912.701416
-16.0,-688.143372,-502.057648,-600.341919,-727.949585,-684.256409,-825.352478,-865.009338,-876.179016,-895.648071,-892.579407,-907.257996,-891.658875,-885.664734,-900.205261
-14.0,-650.031555,-526.480774,-627.09552,-740.803284,-692.366272,-827.526611,-855.433472,-861.451416,-877.166443,-872.281311,-894.111145,-872.887756,-882.670776,-890.435547
-12.0,-604.146973,-549.219543,-647.04541,-763.572937,-704.826782,-835.967346,-857.245178,-852.849426,-883.480042,-887.158936,-896.302307,-884.421753,-886.622742,-881.006714
-10.0,-602.893311,-561.731873,-658.807739,-769.693848,-712.206299,-837.118408,-840.810913,-827.043518,-905.29071,-914.146301,-929.717102,-914.387939,-905.664368,-881.1203
-8.0,-611.9198,-566.544373,-663.881714,-768.714478,-696.600464,-817.423279,-810.918762,-781.817993,-958.669312,-951.052124,-956.01062,-924.338806,-893.449097,-836.36145
-6.0,-647.022705,-602.036072,-703.976379,-803.113708,-725.997559,-839.164673,-823.341492,-790.680664,-1142.911865,-838.143433,-806.465759,-767.384766,-740.996155,-722.64679
-4.0,-480.65976,-697.061523,-790.948059,-876.196716,-781.283508,-885.972595,-855.562866,-825.349243,-887.038574,-841.026672,-762.204834,-737.758057,-715.248047,-699.358582
-2.0,-429.760468,-807.10968,-876.999329,-933.855286,-820.11676,-919.991577,-871.738403,-854.283081,-809.553406,-758.565247,-743.251526,-717.969238,-698.122498,-689.475281
0.0,-435.276642,-900.596619,-945.909546,-984.53595,-857.740173,-947.871765,-898.654114,-794.851318,-753.534546,-724.081421,-721.230591,-701.911987,-687.940369,-683.784668
2.0,-504.855743,-1045.087402,-1054.969238,-1055.6604,-902.622131,-983.297546,-958.438477,-797.197266,-681.313965,-675.723755,-686.276245,-673.832764,-671.492249,-670.5802
4.0,-669.588928,-1196.658569,-1155.515869,-1119.562134,-939.76178,-1026.268799,-891.019409,-809.448608,-619.42865,-636.410645,-653.779358,-648.443604,-651.80249,-659.993896
6.0,-924.884216,-1365.631226,-1265.725952,-1185.055298,-996.257446,-1088.807495,-915.864807,-813.879883,-566.630554,-601.606934,-625.125061,-625.207947,-634.273804,-647.244873
8.0,-1122.104004,-1476.511597,-1351.202271,-1205.25415,-1006.298462,-1053.765259,-917.417725,-799.803955,-540.17395,-588.078613,-616.891052,-614.10022,-628.39093,-640.98407
10.0,-1283.931763,-1607.751831,-1282.292114,-1213.700806,-995.047668,-1023.199463,-874.455811,-791.592957,-523.724915,-569.000183,-606.680969,-605.599365,-629.591492,-653.050232
12.0,-1443.235474,-1714.813354,-1260.434082,-1197.052124,-949.802673,-963.218689,-834.08197,-817.398987,-510.036499,-557.784363,-593.067383,-604.692627,-629.951721,-649.749146
14.0,-1602.182495,-1806.476929,-1284.937988,-1153.594116,-886.411438,-906.051514,-861.386108,-844.768799,-494.852722,-553.04364,-587.578064,-596.985168,-623.588562,-656.123657
16.0,-788.693726,-949.920288,-949.360779,-957.359375,-818.181091,-949.022766,-965.296875,-956.724792,-551.216736,-592.24115,-626.881653,-633.028748,-658.405762,-697.313782
18.0,-830.088745,-954.240601,-957.413757,-961.521606,-821.326416,-943.523499,-956.368042,-976.926514,-527.06073,-574.897156,-610.08429,-617.727173,-658.16571,-696.177734
20.0,-877.986633,-960.96106,-956.493286,-959.562866,-832.214233,-956.184692,-971.249451,-970.670471,-501.294342,-554.084229,-595.812073,-612.853455,-646.279785,-688.565552
